NAME:,run4,,
EXPERIMENT TIME:,24-05-22 16:53,,
Activity,Running,,
COUNT OF ACTUAL STEPS,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
30.714,-3.3,-4.51,-1.02
30.758,1.73,1.14,0.51
30.803,-2.2,1.88,1.73
30.85,-17.14,3.92,20.01
30.896,-12.12,8.55,17.02
30.942,-8.59,14.2,8.28
30.989,-14.95,16.87,4.9
31.035,-6.94,12.16,2.94
31.08,1.37,1.45,-2.63
31.126,0.31,-3.33,-2.94
31.17,0.55,-2.82,0.35
31.215,-2.35,1.53,0.59
31.261,-0.35,3.57,-1.77
31.309,-20.01,-2.79,17.5
31.357,-13.42,20.01,11.96
31.403,-15.49,9.81,4.79
31.45,-14.24,20.01,8.39
31.495,-10.98,8.2,0.71
31.541,-4.82,5.81,-4.24
31.587,2.63,-1.49,-2.75
31.634,-0.04,-2,-1.77
31.68,-0.67,2.39,-0.08
31.726,-0.51,-1.41,0.63
31.771,-0.71,7.26,19.06
31.818,-20.01,3.33,19.57
31.864,-4.16,12.28,6.16
31.911,-17.14,16.59,5.1
31.957,-9.53,13.14,3.96
32.004,-5.1,10.28,-5.57
32.051,-0.12,-2.75,-4.43
32.095,2.94,-1.29,0.86
32.141,-2.67,2.9,-1.02
32.187,-1.06,-1.06,0.08
32.235,-20.01,-3.49,16.59
32.282,-4.79,20.01,14.04
32.328,-14.32,6.94,1.8
32.375,-13.38,20.01,8.32
32.421,-10.28,12.98,2.16
32.466,-8.59,5.33,0.98
32.513,-1.29,-0.71,-2.82
32.559,3.49,-1.26,-0.12
32.606,-3.02,-0.47,-1.06
32.651,-0.75,1.69,0.781494205
32.789,-18.4,8.9,19.89149435
33.206,-20.01,-4.94,7.77
33.253,-5.14,20.01,18.24149481
33.621,-0.9,-1.1,-0.51
33.668,-1.92,-0.27,-0.08
33.714,-3.84,4.39,20.01
33.76,-20.01,7.53,9.57
33.806,-8.75,12.59,7.73
33.853,-15.22,16.36,6.04
33.899,-9.34,14.12,4.9
33.944,-8,9.14,-6.55
33.99,-0.2,1.02,-1.02
34.036,1.37,-1.77,-2.04
34.083,-0.55,-0.75,-0.39
34.129,-1.73,0.86,-1.14
34.175,-3.84,1.45,-2.24
34.22,-4.98,11.53,6.75
34.268,-20.01,13.61,15.14
34.314,-13.22,7.77,6.98
34.361,-10.08,17.14,9.96
34.407,-11.3,9.02,1.02
34.452,-8.79,9.26,1.14
34.498,-2.55,6.67,-1.53
34.543,-1.22,0.86,-0.86
34.59,-0.75,-0.39,-1.96
34.635,-0.04,0,0.2
34.682,-1.65,-1.41,-0.63
34.729,-14.98,7.02,20.01
34.777,-20.01,11.77,10
34.821,-7.22,8.94,5.65
34.868,-17.06,18.16,6.511496424
34.959,-6.75,9.18,3.33
35.005,-1.77,1.1,-2.86
35.052,-1.69,-0.94,-2.75
35.098,1.02,-0.31,-1.57
35.143,-2.75,0.55,-1.02
35.19,-2.28,-0.2,-0.43
35.235,-8.39,5.84,3.77
35.283,-16.87,12.79,19.57
35.329,-15.65,7.69,4.16
35.376,-11.92,17.18,8.39
35.423,-11.53,11.41,3.18
35.468,-9.49,11.73,3.881497023
35.56,-2,2.98,-11.41
35.606,1.29,-0.16,-1.33
35.653,-1.45,-1.92,-2.35
35.699,-0.63,0.04,-0.55
35.744,-3.06,-2.39,1.26
35.789,4.9,6.59,19.18
35.838,-20.01,16.59,-10.51
35.884,-6.47,12.55,3.37
35.931,-15.14,15.77,6.12
35.977,-9.85,13.61,3.53
36.024,-10.67,10.4,1.18
36.069,-1.02,3.45,-2.31
36.116,-1.73,-0.98,-3.65
36.163,-0.39,-0.82,-1.1
36.21,-0.9,-0.24,-0.75
36.255,1.02,2.12,-1.14
36.301,-18.28,1.33,8.75
36.349,-13.02,20.01,17.02
36.394,-11.65,6.47,0.27
36.441,-13.22,18.4,8.36
36.488,-11.61,11.69,3.37
36.533,-7.65,8.36,2.98
36.579,-2.9,4.79,-1.14
36.624,1.37,0.47,-2.08
36.669,-0.98,-0.51,2
36.715,-1.53,-0.59,0.12
36.762,-1.92,-0.59,-0.82
36.809,-17.89,5.92,20.01
36.857,-19.65,13.18,16.51
36.904,-10.4,13.02,8.39
36.951,-15.3,15.42,5.18
36.996,-8.67,10.9,1.92
37.041,-0.86,3.57,0.67
37.087,0.24,-1.02,-2.31
37.133,0.04,-1.06,-0.08
37.178,-2.39,1.37,0.16
37.225,-13.77,-1.92,4.9
37.27,1.1,20.01,-1.73
37.317,-14.67,9.69,-6.35
37.364,-15.14,18.12,5.18
37.411,-10.12,15.57,6.43
37.456,-7.41,7.65,5.37
37.502,-3.18,2.82,-0.08
37.548,2.12,-0.71,-1.49
37.594,-1.14,-0.82,-0.51
37.64,-0.31,1.14,-0.59
37.687,-2.28,-0.27,-1.61
37.733,-8.59,5.45,20.01
37.78,-20.01,8.16,20.01
37.826,-7.34,12.4,5.41
37.873,-16.91,15.57,3.65
37.918,-8.16,11.96,2.71
37.963,-3.14,3.73,0.08
38.009,1.18,-1.45,-2.39
38.055,0.43,-2.12,-1.88
38.1,-2.55,2.24,0.71
38.144,0.78,0.78,-1.18
38.192,-20.01,-7.53,15.57
38.239,-8.28,20.01,12.28
38.286,-14.47,9.41,-1.8
38.333,-13.65,18.4,5.65
38.38,-11.85,11.81,1.96
38.425,-6.59,5.26,1.84
38.469,1.37,1.18,-2.43
38.515,1.45,-0.59,-1.37
38.561,-2.28,0.39,-1.921500116
38.698,-18.01,6.55,20.01
38.745,-17.73,10.12,19.4615003
39.067,-2.55,4.08,-1.33
39.113,-0.55,2.59,-2.47
39.158,-7.53,6.08,4.55
39.206,-16.71,18.16,12.51
39.252,-12.67,9.77,5.77
39.299,-14.44,18.01,9.61
39.344,-11.81,9.41,0.94
39.389,-3.96,6.12,1.26
39.435,-2.08,6.28,-4.98
39.481,0.51,-0.47,-1.61
39.527,-2.12,-1.69,0.12
39.573,0.43,-0.39,-0.86
39.618,-1.1,3.14,-1.49
39.665,-20.01,14.04,9.06
39.713,-14.71,10.67,17.22
39.76,-12.71,13.69,7.69
39.807,-15.97,14,4.67
39.853,-7.18,11.1,4.12
39.899,-3.14,5.14,-1.33
39.945,-0.59,-0.12,-2.67
39.991,0.51,-1.8,-2.67
40.037,-1.53,-0.27,0.55
40.083,-5.96,1.96,-0.31
